chembl_id,smiles,alogp,aromatic_rings,cx_logd,cx_logp,cx_most_apka,cx_most_bpka,full_molformula,full_mwt,hba,hba_lipinski,hbd,hbd_lipinski,heavy_atoms,molecular_species,mw_freebase,mw_monoisotopic,np_likeness_score,num_lipinski_ro5_violations,num_ro5_violations,psa,qed_weighted,ro3_pass,rtb
CHEMBL6,COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,3.93,3,0.26,3.53,3.79,,C19H16ClNO4,357.79,4,5,1,1,25,ACID,357.79,357.0768,-0.72,0,0,68.53,0.77,N,4
CHEMBL6616,COc1cc(CC(C)N)c(OC)cc1I,2.20,1,0.02,2.42,,9.90,C11H16INO2,321.16,3,3,1,2,15,BASE,321.16,321.0226,-0.04,0,0,44.48,0.86,N,4
CHEMBL6437,CN1CCN2c3ccccc3Cc3ccccc3C2C1,3.08,2,3.71,3.83,,6.92,C18H20N2,264.37,2,2,0,0,20,NEUTRAL,264.37,264.1626,-0.64,0,0,6.48,0.72,N,0
CHEMBL6393,c1ccc2c(c1)cc1n2CCNC1,1.74,2,0.51,1.60,,8.46,C11H12N2,172.23,2,2,1,1,13,NEUTRAL,172.23,172.1000,-0.76,0,0,16.96,0.64,Y,0
CHEMBL6385,COc1ccc2cc3n(c2c1)CCNC3,1.75,2,0.34,1.44,,8.47,C12H14N2O,202.26,3,3,1,1,15,NEUTRAL,202.26,202.1106,-0.50,0,0,26.19,0.76,Y,1
CHEMBL269073,COc1ccc2c(c1)cc1n2CCNC1,1.75,2,0.32,1.44,,8.49,C12H14N2O,202.26,3,3,1,1,15,NEUTRAL,202.26,202.1106,-0.71,0,0,26.19,0.76,Y,1
CHEMBL6503,c1ccc2c(c1)nc1n2CCNC1,1.14,2,0.65,0.94,,7.39,C10H11N3,173.22,3,3,1,1,13,NEUTRAL,173.22,173.0953,-1.21,0,0,29.85,0.65,Y,0
CHEMBL266591,Cc1[nH]c2ccc(O)cc2c1CCN,1.68,2,-0.84,0.68,9.32,10.01,C11H14N2O,190.25,2,3,3,4,14,BASE,190.25,190.1106,0.17,0,0,62.04,0.67,N,2
CHEMBL39,NCCc1c[nH]c2ccc(O)cc12,1.37,2,-1.03,0.48,9.31,10.00,C10H12N2O,176.22,2,3,3,4,13,BASE,176.22,176.0950,0.64,0,0,62.04,0.65,N,2
CHEMBL267014,Clc1ccc(N2CCN(Cc3c[nH]c4ncccc34)CC2)cc1,3.54,3,2.85,3.51,,7.94,C18H19ClN4,326.83,3,4,1,1,23,NEUTRAL,326.83,326.1298,-1.76,0,0,35.16,0.80,N,3
CHEMBL42,CN1CCN(C2=Nc3cc(Cl)ccc3Nc3ccccc32)CC1,3.72,2,3.12,3.40,,7.35,C18H19ClN4,326.83,4,4,1,1,23,NEUTRAL,326.83,326.1298,-0.78,0,0,30.87,0.80,N,0
CHEMBL268868,O=C1NC(=O)c2cc(Nc3ccccc3)c(Nc3ccccc3)cc21,4.06,3,3.55,3.57,8.73,,C20H15N3O2,329.36,4,5,3,3,25,NEUTRAL,329.36,329.1164,-0.40,0,0,70.23,0.63,N,4
CHEMBL7939,O=C1NC(=O)c2cc(Nc3ccc(F)cc3)c(Nc3ccc(F)cc3)cc21,4.34,3,3.84,3.86,8.73,,C20H13F2N3O2,365.34,4,5,3,3,27,NEUTRAL,365.34,365.0976,-0.66,0,0,70.23,0.60,N,4
CHEMBL7352,COc1ccc(Nc2cc3c(cc2Nc2ccc(OC)cc2)C(=O)NC3=O)cc1,4.07,3,3.24,3.26,8.73,,C22H19N3O4,389.41,6,7,3,3,29,NEUTRAL,389.41,389.1376,-0.36,0,0,88.69,0.55,N,6
CHEMBL7775,CN(c1ccccc1)c1cc2c(cc1Nc1ccccc1)C(=O)NC2=O,4.08,3,3.78,3.80,8.72,,C21H17N3O2,343.39,4,5,2,2,26,NEUTRAL,343.39,343.1321,-0.74,0,0,61.44,0.70,N,4
CHEMBL7914,Cc1ccc(Nc2cc3c(cc2Nc2ccc(C)cc2)C(=O)NC3=O)cc1,4.67,3,4.58,4.60,8.73,,C22H19N3O2,357.41,4,5,3,3,27,NEUTRAL,357.41,357.1477,-0.48,0,0,70.23,0.59,N,4
